Rel,Year,ID,Status,Group,Album,Comments
68,69,1,VCR,Iron Butterfly,Inna Gadda da Vida,
69,69,2,CC,Cream,Best Of,
69,69,3,CD,Doors,Soft Parade,
68,69,4,LP,Iron Butterfly,Heavy,
69,69,5,LP,Iron Butterfly,Ball,
67,69,6,CC,Doors,The Doors,
69,69,7,MISS,Guess Who,Wheatfield Soul,
69,69,8,MISS,Guess Who,Canned Wheat,
69,69,9,GONE,Stones,Thru the Past Darkly,
68,69,10,CD,Doors,Waiting For the Sun,
67,69,11,CD,Doors,Strange Days,
69,69,12,GONE,Hendrix,Smash Hits,
69,69,13,KEEP,CSN,Crosby Stills and Nash,
69,69,14,GONE,Various,Easy Rider,
69,69,15,GONE,Sly Stone,Stand,
67,69,16,NEXT,Hendrix,Axis Bold as Love,
69,69,17,KEEP,NYRRE,Faithful Friends,
66,69,18,CC,Stones,Aftermath,
67,69,19,CC,Stones,Satanic Majesty,
67,69,20,SOLD,Stones,Flowers,
70,69,21,CD,Doors,Morrison Hotel,
69,69,22,CD,Who,Tommy,
69,69,23,CD,Who,Tommy,
69,69,24,CC,Stones,Let it Bleed,
66,69,25,SOLD,Stones,High Tide and Green Grass,
66,69,26,CC,Cream,Fresh Cream,
67,69,27,CC,Cream,Disraeli Gears,
68,69,28,SOLD,Cream,Wheels of Fire,
68,69,29,SOLD,Cream,Wheels of Fire,
