:.,$!sort -t, -bk6,6 -k1,2n -bk7,7,,,
0,0,MC,1,FOLK1,Craig Duncan,Bluegrass Mountain Memories,,
0,0,M3,1,BEATL,Craig Duncan,Bluegrass-Beatles,,
0,0,MC,1,FOLK1,Craig Duncan,Sunday Morning Bluegrass,,
880000,0,CD,1,JAZZ1,Craig Fraedrich,First Flight,,
0,0,MC,1,JAZZ1,Craig Taborn,Chants,,
661209,26,MC,1,ROCK4,Cream,Fresh Cream,,
671100,27,MC,1,ROCK4,Cream,Disraeli Gears,,
680809,28,MC,1,ROCK4,Cream,Wheels of Fire,,
690205,30,XX,1,ROCK4,Cream,Goodbye,,
690707,2,MC,1,ROCK4,Cream,Best Of,,
700400,53,XX,1,ROCK4,Cream,Live Cream V1,,
720302,114,XX,1,ROCK4,Cream,Live Cream V2,,
0,0,MC,1,JAZZ2,Cyrus Chestnut,Eye of the Beholder,,
0,0,MC,1,JAZZ2,Cyrus Chestnut,Quartet,,
750000,362,MD,1,LOCAL,Danny Gatton,American Music,,
770000,0,MD,2,LOCAL,Danny Gatton,With Buddy Emmons Live,,
772001,0,MD,2,LOCAL,Danny Gatton,Live at Desperados,,
781231,412,MD,1,LOCAL,Danny Gatton,Redneck Jazz,,
870000,526,MD,1,LOCAL,Danny Gatton,Unfinished Business,,
910319,0,MC,1,LOCAL,Danny Gatton,88 Elmira Street,,
920000,0,MD,1,LOCAL,Danny Gatton,New York Stories,,
930000,0,CD,1,LOCAL,Danny Gatton,Cruising Deuces,,
940909,0,MD,2,LOCAL,Danny Gatton,In Concert 9/9/94,,
950000,0,MD,1,LOCAL,Danny Gatton,Redneck Jazz Explosion,,
980000,0,MD,1,LOCAL,Danny Gatton,Portraits,,
980000,0,MD,2,LOCAL,Danny Gatton,Untouchable,,
0,0,CC,1,ROCK1,Dar Williams,Mortal City,,
0,0,M3,1,ROCK1,Dave Alvin,Common Ground,,
0,0,MC,1,JAZZ2,Dave Brubeck,Night Shift,,
0,0,MC,1,JAZZ2,Dave Brubeck,Young Lions and Old Tigers,,
0,0,MC,2,JAZZ3,Dave Holland,Live at Birdland,,
0,0,MC,1,JAZZ3,Dave Holland,Prime Directive,,
0,0,MC,1,JAZZ3,Dave Holland,Prism,+Kevin Eubanks,
0,130,XX,1,ROCK1,Dave Mason,Alone Together,,
0,131,XX,1,ROCK1,Dave Mason,Headkeeper,,
0,0,MC,1,XMASS,David Arkenstone,Enchantment,,
720000,366,LP,1,FOLK1,David Bromberg,David Bromberg,,
720000,367,LP,1,FOLK1,David Bromberg,Demon in Disguise,,
740000,272,LP,1,FOLK1,David Bromberg,Wanted Dead or Alive,,
750000,407,LP,1,FOLK1,David Bromberg,Midnight on the Water,,
760000,385,LP,2,ROCK1,David Bromberg,How Late You Play Til,,
0,0,MC,1,ROCK1,David Crosby,Croz,,
0,0,M3,1,ROCK1,David Crosby,Here If You Listen,,
710000,106,KP,1,ROCK1,David Crosby,Remember My Name,,
0,0,M3,1,IRISH,David Davidson,Celtic Dreams,,
0,0,MD,1,JAZZ1,David Gilmore,Transitions,different guy,
0,0,M3,2,PROGS,David Gilmour,Live at Pompeii,,
0,0,MD,2,PROGS,David Gilmour,Live in Gdansk,+DVD,
0,0,MD,1,PROGS,David Gilmour,On an Island,,
780526,0,MD,1,PROGS,David Gilmour,David Gilmour,,
840305,0,MD,1,PROGS,David Gilmour,About Face,,
0,0,MC,1,FOLK4,David Grisman,Acoustic Christmas,,
0,0,MC,1,FOLK4,David Grisman,Acousticity,,
0,0,MC,1,FOLK4,David Grisman,Bluegrass Experience,,
0,0,MC,1,FOLK4,David Grisman,Dawg Tales,tribute,
0,0,MC,1,FOLK4,David Grisman,Dawgs Groove,,
0,0,MC,1,FOLK4,David Grisman,Early Dawg,,
0,0,CC,1,FOLK4,David Grisman,Mondo Mando,,
0,0,MC,1,FOLK4,David Grisman,Quartet,,
0,0,CC,1,FOLK4,David Grisman,The Rounder CD,,
0,0,MC,1,FOLK4,David Grisman,Tone Poems,+Tony Rice,
10623,0,MD,1,FOLK4,David Grisman,New River,+Denny Zeitlin,
970819,0,MD,1,FOLK4,David Grisman,Doc and Dawg,+Doc Watson,
999999,0,MD,1,FOLK4,David Grisman,Retrograss,+Hartford,+Mike Seeger
0,478,XX,1,ROCK1,David La Flamme,White Bird,,
80000,0,MD,1,DEAD1,Dead Grass,Dead Grass,+Vassar Clements,
0,0,MC,1,CLASS,Debussy,Complete Preludes,,
0,0,MC,1,CLASS,Debussy,Easy Listening Piano Classics,+Ravel,
0,0,MC,1,FOLK3,Del McCoury,American Classics,,
0,0,MC,1,FOLK3,Del McCoury,Cold Hard Facts,,
0,0,MC,1,FOLK3,Del McCoury,Family Circle,,
0,0,CC,1,FOLK3,Del McCoury,Its Just the Night,,
0,0,MC,1,FOLK3,Del McCoury,Old Memories,,
0,0,MC,1,FOLK3,Del McCoury,Promised Land,,
0,0,MC,1,FOLK3,Del McCoury,The Groove Grass Years,,
0,0,MC,1,FOLK3,Del McCoury,The Streets of Baltimore,,
0,0,MC,1,ROCK1,Derailers,Here Come The Derailers,,
0,0,M3,2,BLUER,Derek Trucks,Layla Revisited,,
0,0,MC,2,BLUER,Derek Trucks,Road Songs,,
0,0,MC,1,PROGS,Deuter,Dream Time,,
0,0,M3,1,JAZZ1,Dexter Gordon,Our Man in Paris,,
0,313,LP,1,ROCK1,Dickey Betts,Highway Call,,
691108,0,MC,3,DEAD2,Dicks Picks,Vol 16 - Fillmore West,,
700502,0,M3,3,DEAD2,Dicks Picks,Vol  8 - Harpur College,,
711031,0,MC,1,DEAD2,Dicks Picks,Vol  2 - Columbus Ohio,,
731202,0,MC,4,DEAD2,Dicks Picks,Vol 14 - Boston Music Hall,,
731219,0,MC,2,DEAD2,Dicks Picks,Vol  1 - Tampa,,
740900,0,MC,3,DEAD2,Dicks Picks,Vol  7 - Alexandra Palace,,
770903,0,M3,3,DEAD2,Dicks Picks,Vol 15 - Englishtown,,
780205,0,M3,3,DEAD2,Dicks Picks,Vol 18 - U of Iowa,,
810506,0,MC,3,DEAD2,Dicks Picks,Vol 13 - Nassau Coliseum,,
831014,0,MC,3,DEAD2,Dicks Picks,Vol  6 - Hartford,,
910925,0,MC,3,DEAD2,Dicks Picks,Vol 17 - Boston Garden,,
0,0,M3,2,ROCK2,Dire Straits,Alchemy Live,,
0,0,M3,1,ROCK2,Dire Straits,Encores,,
0,0,M3,1,ROCK2,Dire Straits,Live at the BBC,,
0,0,M3,2,ROCK2,Dire Straits,Live at the Rainbow,,
0,0,MP,1,ROCK2,Dire Straits,Money For Nothing,hits,
0,0,M3,2,ROCK2,Dire Straits,On the Night,,
780609,0,LP,1,ROCK2,Dire Straits,Dire Straits,,
780609,0,MC,1,ROCK2,Dire Straits,Dire Straits,,
790615,0,LP,1,ROCK2,Dire Straits,Communique,,
801017,0,MD,1,ROCK2,Dire Straits,Making Movies,,
820920,0,LP,1,ROCK2,Dire Straits,Love Over Gold,,
850513,0,LP,1,ROCK2,Dire Straits,Brothers In Arms,,
910909,0,LP,1,ROCK2,Dire Straits,On Every Street,,
910909,0,MC,1,ROCK2,Dire Straits,On Every Street,,
0,0,M3,1,FOLK3,Dirt Band,Circling Back,,
0,0,M3,1,FOLK3,Dirt Band,Speed of Life,,
0,0,M3,1,FOLK3,Dirt Band,Will the Circle Be Unbroken-V2,,
0,0,M3,2,FOLK3,Dirt Band,Will the Circle Be Unbroken-V3,,
721199,178,LP,3,FOLK3,Dirt Band,Will the Circle Be Unbroken-V1,,
721199,178,MD,3,FOLK3,Dirt Band,Will the Circle Be Unbroken-V1,,
0,0,MC,1,JAZZ2,Dizzy Gillespie,Copenhagen Concert,,
0,0,MC,1,JAZZ2,Dizzy Gillespie,Diz + Getz,,
0,0,MC,1,JAZZ2,Dizzy Gillespie,New Faces,,
0,0,MC,1,JAZZ2,Dizzy Gillespie,To Diz with Love,,
0,0,MD,1,JAZZ2,Django Reinhart,All Star Sessions,,
0,0,MP,1,JAZZ2,Django Reinhart,Djangology 49,,
0,0,M3,1,JAZZ2,Django Reinhart,Essential,,
0,458,LP,2,JAZZ2,Django Reinhart,Indispensible,,
0,377,LP,1,JAZZ2,Django Reinhart,Parisian Swing,,
0,268,LP,1,FOLK4,Doc Watson,Ballads from Deep Gap,,
0,0,MC,1,FOLK4,Doc Watson,Elementary,,
0,228,LP,2,FOLK4,Doc Watson,Essential,,
0,0,MC,1,FOLK4,Doc Watson,Home Sweet Home,,
0,0,MC,1,FOLK4,Doc Watson,Instrumental Collection,,
0,510,LP,1,FOLK4,Doc Watson,Lonesome Road,,
0,0,MC,1,FOLK4,Doc Watson,Mac and Doc and Del,,
0,0,MC,1,FOLK4,Doc Watson,On Stage,,
0,226,LP,2,FOLK4,Doc Watson,On Stage,,
0,0,MP,1,FOLK4,Doc Watson,Riding the Midnight Train,,
0,0,MC,1,FOLK4,Doc Watson,Third Generation Blues,,
0,0,MC,1,FOLK4,Doc Watson,Three Pickers,+Earl Scruggs,+Ricky Scaggs
809999,0,MD,1,FOLK4,Doc Watson,Reflections,+Chet Atkins,
950000,0,MD,4,FOLK4,Doc Watson,The Vanguard Years,,
0,0,MC,1,FOLK1,Dolly Parton,Horns+Halos,,
0,0,MC,1,FOLK1,Dolly Parton,Little Sparrow,,
0,0,M3,2,FOLK1,Dolly Parton,Smoky Mountain DNA,,
0,0,MC,1,FOLK1,Dolly Parton,The Grass Is Blue,,
0,0,MC,1,FOLK1,Dolly Parton,Trio I,,
0,0,MC,1,FOLK1,Dolly Parton,Trio II,,
0,0,MC,1,FOLK1,Don Reno,Original Dueling Banjos,,
0,464,XX,1,ROCK1,Donovan,Barabajagal,,
0,465,XX,1,ROCK1,Donovan,Hurdy Gurdy Man,,
0,466,XX,1,ROCK1,Donovan,Sunshine Superman,,
0,51,MP,1,ROCK1,Doors,Absolutely Live,,
0,0,MD,1,ROCK1,Doors,Greatest Hits,,
1114,0,MC,1,ROCK1,Doors,Stoned Immaculate,Tribute,
670104,6,MD,1,ROCK1,Doors,The Doors,,
670307,0,M3,3,ROCK1,Doors,Live at the Matrix 1967,,
670925,11,MD,1,ROCK1,Doors,Strange Days,,
680703,10,MD,1,ROCK1,Doors,Waiting For the Sun,,
690721,3,MD,1,ROCK1,Doors,Soft Parade,,
700209,21,MD,1,ROCK1,Doors,Morrison Hotel,,
700410,0,MC,2,ROCK1,Doors,Live in Boston,,
700502,0,M3,1,ROCK1,Doors,Live in Pittsburgh 1970,,
710501,72,MC,1,ROCK1,Doors,LA Woman,,
781127,508,CC,1,ROCK1,Doors,American Prayer,,
781127,508,VL,1,ROCK1,Doors,American Prayer,,
831017,509,VL,1,ROCK1,Doors,Alive She Cried,,
49999,0,MD,1,DEAD1,Dose Hermanos,Bright Shadows,+Constanten,+Bralove
0,0,MC,1,FOLK1,Doug Seegers,Going Down to the River,,
0,0,MC,1,FOLK2,Doyle Lawson,Hard Game of Love,,
0,0,M3,1,FOLK2,Doyle Lawson,In Session,,
0,0,M3,1,FOLK2,Doyle Lawson,Life Is A Story,,
0,0,MC,1,FOLK2,Doyle Lawson,Never Walk Away,,
0,0,MC,1,FOLK2,Doyle Lawson,Winding Through Life,,
0,0,MC,1,FOLK1,Dry Branch Fire Squad,Echoes of the Mountain,,
0,0,MC,1,JAZZ3,Duke Ellington,Duke Meets Count,,
0,0,MC,1,JAZZ3,Duke Ellington,In Grand Company,,
0,0,MC,1,JAZZ3,Duke Ellington,Ken Burns Jazz,,
0,0,MC,1,JAZZ3,Duke Ellington,The Okeh Ellington,,
0,0,MD,1,JAZZ3,Duke Ellington,Very Best Of,,
0,0,MP,1,JAZZ1,Dukes of Dixieland,Barn Burners,,
0,0,MC,1,ROCK3,Dylan,Essential,,
0,0,M3,1,ROCK3,Dylan,More Blood More Tracks,,
0,0,MC,2,ROCK3,Dylan,No Direction Home,,
0,0,MC,1,ROCK3,Dylan,The Freewheeling,,
620066,0,M3,2,ROCK3,Dylan,Live 1962-1966,,
650000,150,MD,1,ROCK3,Dylan,Bringing It All Back Home,,
650000,167,MD,1,ROCK3,Dylan,Highway 61,,
660000,0,CC,2,ROCK3,Dylan,Live 1966,,
660526,0,M3,2,ROCK3,Dylan,Royal-Albert-Hall,,
670000,67,MD,1,ROCK3,Dylan,Greatest Hits V1,,
690000,390,VL,1,ROCK3,Dylan,Nashville Skyline,,
700000,0,M3,3,ROCK3,Dylan,1970,+George Harrison,
710000,151,MD,2,ROCK3,Dylan,Greatest Hits V2,,
740000,444,SL,1,ROCK3,Dylan,Planet Waves,,
750000,361,MD,1,ROCK3,Dylan,Blood on the Tracks,,
750000,361,SL,1,ROCK3,Dylan,Blood on the Tracks,,
750000,0,M3,1,ROCK3,Dylan,Live 1975,,
760000,0,MD,1,ROCK3,Dylan,Hard Rain,,
0,0,CC,1,ROCK1,ELO,Zoom,,
0,0,MD,1,ROCK2,Eagles,Greatest Hits,,
0,0,MD,1,ROCK2,Eagles,Hell Freezes Over,,
0,0,M3,1,ROCK2,Eagles,Hotel California,,
0,0,M3,1,ROCK2,Eagles,Hotel California Live,,
0,0,MD,1,ROCK2,Eagles,On the Border,,
0,0,CD,1,ROCK2,Eagles,Out of Eden,,
0,0,MC,1,JAZZ1,Earl Hines,Piano Man,,
0,0,MC,1,JAZZ1,Earl Klugh,Hand Picked,,
0,0,MC,2,FOLK2,Earl Scruggs,Best Of,,
0,0,MC,2,FOLK2,Earl Scruggs,Essential,,
0,0,MC,1,FOLK2,Earl Scruggs,Ultimate Collection,,
0,0,MC,1,JAZZ1,Eberhard Weber,Fluid Rustle,,
0,0,MC,1,JAZZ1,Eberhard Weber,Pendulum,,
0,0,MC,1,JAZZ1,Eddie Palmieri,Listen Here,,
0,0,MC,1,FOLK1,Eddie and Martha Adcock,Spirited,,
0,0,MC,1,ROCK1,Edie Brickell,Shooting Rubberbands,DAMAGED,
0,0,MC,1,PROGS,Electric Light Orchestra,Zoom,,
0,0,MC,1,BLUES,Elmore James,Best of Fire Sessions,,
0,0,MC,1,ROCK1,Elton John,One Night Only,,
0,0,M3,1,BLUES,Elvin Bishop,The Blues Rolls On,,
0,0,CC,1,ROCK1,Elvis,Elvis at Sun,,
0,500,VL,1,ROCK1,Elvis,Greatest Hits,,
0,0,MC,1,XMASS,Emmylou Harris,Light of the Stable,Xmas,
0,0,MC,1,FOLK1,Emmylou Harris,Red Dirt Girl,,
0,0,MC,1,XMASS,Empire Brass,Joy To The World,,
0,0,M3,1,XMASS,Eric Byrd,Charlie Brown Christmas,,
0,0,MC,1,ROCK4,Eric Clapton,Clapton-2010,,
0,0,MC,2,BLUER,Eric Clapton,Crossroads Guitar Festival 2013,,
0,0,MC,1,BLUER,Eric Clapton,From the Cradle,,
0,123,LP,1,ROCK4,Eric Clapton,Guitar Boogie,,
0,0,MC,2,BLUER,Eric Clapton,Life in Twelve Bars,Collection,
0,0,MC,2,ROCK4,Eric Clapton,Live at MSG,+Steve Winwood,
0,0,MC,1,BLUER,Eric Clapton,Me and Mr. Johnson,,
0,0,M3,1,BLUER,Eric Clapton,Nothing But The Blues,,
0,0,MP,1,ROCK4,Eric Clapton,Unplugged,,
640000,185,XX,1,ROCK4,Eric Clapton,Five Live Yardbirds,,
660000,124,LP,1,BLUER,Eric Clapton,+Sonny Boy,,
700000,90,XX,1,ROCK4,Eric Clapton,Eric Clapton,,
700000,76,KP,2,ROCK4,Eric Clapton,Layla,,
700000,76,M3,1,ROCK4,Eric Clapton,Layla,,
720000,121,XX,2,ROCK4,Eric Clapton,History of,,
730000,186,XX,2,ROCK4,Eric Clapton,In Concert,,
730000,184,XX,1,ROCK4,Eric Clapton,Rainbow Concert,,
740700,461,MC,1,ROCK4,Eric Clapton,461 Ocean Boulevard,,
830000,505,XX,1,ROCK4,Eric Clapton,Timepieces,,
0,0,MC,1,JAZZ1,Eric Reed,Groovewise,,
0,0,MC,1,JAZZ2,Erroll Garner,Concert By the Sea,,
0,0,MC,1,JAZZ2,Erroll Garner,Essence Of,,
0,0,MC,1,JAZZ2,Erroll Garner,Solitaire,,
0,0,MC,1,JAZZ2,Erroll Garner,Yesterdays,,
0,0,MP,1,WOMEN,Eva Cassidy,American Tune,,
0,0,M3,1,WOMEN,Eva Cassidy,I Can Only Be Me,,
0,0,M3,1,WOMEN,Eva Cassidy,Imagine,,
0,0,M3,1,WOMEN,Eva Cassidy,Somewhere,,
0,0,M3,1,WOMEN,Eva Cassidy,Time After Time,,
960514,0,MD,1,WOMEN,Eva Cassidy,Live at Blues Alley,,
980519,0,MD,1,WOMEN,Eva Cassidy,Songbird,,
0,0,MC,1,JAZZ1,Fats Waller,Greatest Hits,,
0,0,M3,1,CLASS,Ferdinand Ries,Piano Trios + Sextets,,
0,0,M3,3,BLUER,Fleetwood Mac,Before the Beginning,,
0,0,M3,1,BLUER,Fleetwood Mac,Boston,,
0,0,CC,1,ROCK3,Fleetwood Mac,Fleetwood Mac,,
0,0,MD,1,ROCK3,Fleetwood Mac,Greatest Hits,,
0,0,M3,1,ROCK3,Fleetwood Mac,Perfect in Every Way,,
0,0,M3,1,BLUER,Fleetwood Mac,Preaching the Blues,,
0,0,MC,1,ROCK3,Fleetwood Mac,Rumors,,
0,0,M3,2,ROCK3,Fleetwood Mac,Rumors Live,,
0,0,MC,1,ROCK3,Fleetwood Mac,The Dance,,
0,0,M3,1,BLUER,Fleetwood Mac,Then Play On,,
0,0,MC,2,ROCK3,Fleetwood Mac,Very Best Of,,
690000,104,LP,2,BLUER,Fleetwood Mac,In Chicago,,
690000,104,MC,2,BLUER,Fleetwood Mac,In Chicago,,
710000,99,LP,2,BLUER,Fleetwood Mac,Black Magic Woman,,
710000,411,LP,1,BLUER,Fleetwood Mac,Original Fleetwood Mac,,
0,0,MC,1,JAZZ1,Fletcher Henderson,Story V2,,
0,0,M3,1,ROCK1,Flying Burrito Brothers,Burrito Deluxe,,
0,0,M3,1,ROCK1,Flying Burrito Brothers,Gilded Palace of Sin,,
0,0,XX,1,CLASS,Forever Gold,Magic of the Guitar,hits,
0,0,MC,1,XMASS,Four Girls Four Harps,At Christmas,,
0,0,CC,1,JAZZ1,Frank Sinatra,Duets,,
0,0,CC,1,JAZZ1,Frank Sinatra,Duets,,
970000,0,CD,2,JAZZ1,Frank Sinatra,My Way Best Of,,
0,0,MC,1,JAZZ1,Gary Burton,Passengers,,
0,0,M3,1,PROGS,Genesis,Please-Dont-Touch,Err:509,
710000,479,NX,1,PROGS,Genesis,Nursery Cryme,,
720915,480,MC,1,PROGS,Genesis,Foxtrot,,
720915,480,NX,1,PROGS,Genesis,Foxtrot,,
730000,365,NX,1,PROGS,Genesis,Selling England By the Pound,,
741122,0,MD,1,PROGS,Genesis,Lamb Lies Down,,
0,0,M3,2,JAZZ2,George Benson,Essential,,
0,0,M3,1,JAZZ2,George Benson,Songs and Stories,,
0,0,MC,1,JAZZ1,George Gershwin,Piano Rolls,,
700000,147,XX,3,ROCK1,George Harrison,All Things Must Pass,,
710000,168,LP,3,ROCK1,George Harrison,Concert for Bangladesh,,
0,0,M3,1,XMASS,George Winston,Music of Vince Guaraldi V2,,
0,0,M3,1,ROCK1,George Winston,Night-Divides-The-Day,,
0,0,M3,1,JAZZ1,Gil Evans,Centennial,,
0,0,CD,1,MISCS,Gipsy Kings,Best Of,,
0,450,LP,1,FOLK1,Good Old Boys,Pistol Packing Mama,,
0,115,VL,1,ROCK1,Graham Nash,Songs for Beginners,,
0,0,MC,1,ROCK2,Gram Parsons,Grievous Angel,,
0,0,MC,2,ROCK2,Gram Parsons,Sacred Hearts+Fallen Angels,,
0,0,MC,1,JAZZ2,Grant Green,Born to be Blue,,
0,0,MC,1,JAZZ2,Grant Green,Idle Moments,,
0,0,MC,1,FOLK1,Grascals,Long List of Heartaches,,
0,0,MC,1,FOLK1,Grascals,The Grascals,,
0,0,CC,1,FOLK1,Grasscals,Long List of Heartaches,,
20399,0,MD,2,DEAD2,Grateful,Postcards of the Hanging,,
50315,0,MD,5,DEAD2,Grateful,Movie Soundtrack,,
50626,0,MD,2,DEAD2,Grateful,Hundred Year Hall,,
70626,0,M3,2,DEAD2,Grateful,Three from the Vault,,
670317,201,XX,1,DEAD2,Grateful,The Grateful Dead,,
680718,202,CC,1,DEAD2,Grateful,Anthem Extended,,
680718,202,MD,1,DEAD2,Grateful,Anthem of the Sun,,
680823,0,MD,2,DEAD2,Grateful,Two from the Vault,,
690620,203,MD,1,DEAD2,Grateful,Aoxomoxoa,,
691110,196,MD,2,DEAD2,Grateful,Live Dead,,
700399,269,NX,1,DEAD2,Grateful,Zabriskie Point,,
700506,0,CI,1,DEAD2,Grateful,MIT 050670,ISO of .WAVs,
700506,0,MC,1,DEAD2,Grateful,MIT 050670,,
700714,204,MD,1,DEAD2,Grateful,Workingmans Dead,,
701099,206,NX,1,DEAD2,Grateful,Vintage,,
701101,205,MD,1,DEAD2,Grateful,American Beauty,,
710699,207,NX,1,DEAD2,Grateful,Historic Dead,,
711024,194,MP,2,DEAD2,Grateful,Skull and Roses,,
720000,0,MD,4,DEAD2,Grateful,England 72,,
720000,0,MD,2,DEAD2,Grateful,Europe 72 V2,,
720827,0,MD,4,DEAD2,Grateful,Sunshine Daydream,,
721101,198,MD,2,DEAD2,Grateful,Europe 72,,
730613,0,MS,4,DEAD2,Grateful,RFK-061073,Amazing,
730713,208,MP,1,DEAD2,Grateful,Bears Choice,,
731015,209,MC,1,DEAD2,Grateful,Wake of the Flood,,
740627,271,MD,1,DEAD2,Grateful,Mars Hotel,,
740627,271,MC,1,DEAD2,Grateful,Mars Hotel Extended,,
750813,0,MD,2,DEAD2,Grateful,One from the Vault,,
750901,333,MC,1,DEAD2,Grateful,Blues For Allah,,
760626,356,XX,2,DEAD2,Grateful,Steal Your Face,,
770727,400,MD,1,DEAD2,Grateful,Terrapin Station,,
770727,400,MC,1,DEAD2,Grateful,Terrapin Station Extended,,
780000,0,DV,1,DEAD2,Grateful,Egypt 1978,,
780000,0,MD,2,DEAD2,Grateful,Egypt 1978,,
781115,401,XX,1,DEAD2,Grateful,Shakedown Street,,
810401,451,MD,2,DEAD2,Grateful,Reckoning,,
810826,454,MD,2,DEAD2,Grateful,Dead Set,,
870706,520,M3,1,DEAD2,Grateful,In the Dark,,
890707,0,MS,3,DEAD2,Grateful,Crimson White+Indigo,,
891030,0,MD,1,DEAD2,Grateful,Dylan and the Dead,,
891031,0,MD,1,DEAD2,Grateful,Built to Last,,
900000,0,M3,2,DEAD2,Grateful,So Glad You Made It,Spring 1990,
900300,0,MC,3,DEAD2,Grateful,Dozing at the Knick,,
900999,0,MD,2,DEAD2,Grateful,Without a Net,,
911101,0,MS,1,DEAD2,Grateful,Infrared Roses,,
940095,0,MD,2,DEAD2,Grateful,Grayfolded,,
970617,0,MS,2,DEAD2,Grateful,Fallout from the Phil Zone,,
980999,0,MD,1,DEAD2,Grateful,Twilight Zone Soundtrack,,
990209,0,MD,1,DEAD2,Grateful,The Strange Remain,,
0,89,SL,1,ROCK1,Nils_Lofgren,Grin,,
0,0,MP,1,ROCK1,Nils_Lofgren,Silver_Lining,,
0,0,MP,1,ROCK1,Nils_Lofgren,Nils_Lofgren,,
70000,0,MD,1,LOCAL,Grits,Tailwind,Tom Wright,
89999,0,MD,1,LOCAL,Grits,Rock and Roll Madness,LOCAL,
729999,0,MD,1,LOCAL,Grits,As the World Grits,LOCAL,
979999,0,MD,1,LOCAL,Grits,Rare Birds,LOCAL,
690000,8,LP,1,JAZZ1,Guess Who,Canned Wheat,Missing,
690000,7,LP,1,JAZZ1,Guess Who,Wheatfield Soul,Missing,
0,0,MC,1,BLUES,Guy Davis,Juba Dance,,
0,0,MC,1,FOLK1,Hank Williams III,Long Gone Daddy,,
0,443,LP,1,JAZZ1,Happy The Man,Happy The Man,,
0,247,SL,1,BLUES,Harvey Mandel,Get Off in Chicago,,
9999,114,MD,1,LOCAL,Harvey Reid,Guitar Voyages,,
19999,115,MD,1,LOCAL,Harvey Reid,The Great Sad River,,
29999,116,MD,1,LOCAL,Harvey Reid,Dreamer or Believer,,
39999,117,MD,1,LOCAL,Harvey Reid,Autoharp Album,,
49999,118,MD,1,LOCAL,Harvey Reid,Kindling the Fire,,
849999,111,MD,1,LOCAL,Harvey Reid,Xmas Album,,
869999,103,MD,1,LOCAL,Harvey Reid,Coming of Winter,,
889999,104,MD,1,LOCAL,Harvey Reid,Of Wind and Water,,
899999,105,MD,1,LOCAL,Harvey Reid,Solo Guitar Sketchbook,,
909999,106,MD,1,LOCAL,Harvey Reid,Overview,,
929999,107,MD,1,LOCAL,Harvey Reid,Steel Driving Man,,
939999,108,MD,1,LOCAL,Harvey Reid,Circles,,
949999,109,MD,1,LOCAL,Harvey Reid,Chestnuts,,
959999,110,MD,1,LOCAL,Harvey Reid,Artistry of 6-String Banjo,,
979999,112,MD,1,LOCAL,Harvey Reid,In Person,,
989999,113,MD,1,LOCAL,Harvey Reid,Fruit on the Vine,,
0,0,MC,1,CLASS,Haydn,Piano Sonatas,,
0,0,M3,1,ROCK2,Hendrix,Both Sides of the Sky,,
0,0,M3,1,ROCK2,Hendrix,Live at LA Forum 4-26-69,,
0,0,M3,1,ROCK2,Hendrix,Live at Monterey,,
0,0,M3,2,ROCK2,Hendrix,Live in Maui,,
0,0,MP,1,ROCK2,Hendrix,Stone Free,Tribute,
670816,0,M3,1,ROCK2,Hendrix,Live at Hollywood Bowl,,
670823,31,MD,1,ROCK2,Hendrix,Are You Experienced,,
671201,16,M3,1,ROCK2,Hendrix,Axis Bold as Love,,
681016,33,MD,2,ROCK2,Hendrix,Electric Ladyland,,
690730,12,MP,1,ROCK2,Hendrix,Smash Hits,,
700325,54,M3,1,ROCK2,Hendrix,Band of Gypsys 1,,
707110,112,XX,1,ROCK2,Hendrix,Rainbow Bridge,,
708208,524,SL,2,ROCK2,Hendrix,The Jimi Hendrix Concerts,,
708610,523,M3,1,ROCK2,Hendrix,Band of Gypsys 2,,
710000,218,XX,1,ROCK2,Hendrix,Friends Beginning,+Little Richard,
710305,75,KP,1,ROCK2,Hendrix,Cry of Love,RARE,
990223,0,MD,2,ROCK2,Hendrix,Live at Fillmore East,,
0,0,MC,1,JAZZ4,Herbie Hancock,Best Of,,
0,0,MC,2,JAZZ4,Herbie Hancock,Complete WB Recordings,,
0,0,MC,1,JAZZ4,Herbie Hancock,Empyrean Isles,,
0,0,M3,2,JAZZ4,Herbie Hancock,Essential,,
0,0,MC,1,JAZZ4,Herbie Hancock,Gershwin World,,
0,0,MC,1,JAZZ4,Herbie Hancock,Maiden Voyage,,
0,0,MC,1,JAZZ4,Herbie Hancock,Possibilities,,
0,0,MC,1,JAZZ4,Herbie Hancock,The Imagine Project,,
0,0,MC,1,FOLK1,Hillmen,The Hillmen,,
0,0,M3,1,JAZZ2,Hiromi,Move,,
170000,0,MD,1,JAZZ2,Hiromi,Live in Montreal,,
169999,0,MD,2,DEAD1,Holly Bowling,Better Left Unsung,,
0,0,MC,1,CLASS,Holst,The Planets,,
0,0,MC,1,BLUES,Homemade Jamz Band,Homemade Jamz Band,kids,
0,0,M3,1,CLASS,Hong Kong Orchestra,Concertos for Mallets,,
0,0,MC,1,JAZZ1,Horace Silver,Jazz Messengers,,
0,0,MC,1,FOLK1,Hot Rize,Untold Stories,,
0,0,M3,1,ROCK1,Hot Tuna,Before We Were Them,,
0,338,XX,1,ROCK1,Hot Tuna,Burgers,,
0,254,XX,1,ROCK1,Hot Tuna,Hot Tuna,,
0,241,LP,2,BLUES,Howling Wolf,Chester Burnett AKA,,
0,0,MC,1,BLUES,Howling Wolf,His Best,,
0,0,MC,1,BLUES,Howling Wolf,Howling Wolf + Moaning,,
0,132,LP,1,BLUES,Howling Wolf,London Sessions,,
