:.,$!sort -t, -bk6,6 -k1,2n -bk7,7,,,
680000,379,MC,1,ROCK1,Band,Music from Big Pink,,
690000,94,MC,1,ROCK1,Band,The Band,,
700000,78,VL,1,ROCK1,Band,Stage Fright,,
720000,190,MC,2,ROCK1,Band,Rock of Ages,,
750000,353,VL,1,ROCK1,Band,Northern Lights Southern Cross,,
0,0,MC,1,FOLK1,Barney Isaacs,Hawaiian Touch,,
0,0,MC,1,JAZZ1,Barney Kessel,Yesterday,,
0,368,LP,1,BLUES,Barry Goldberg,And Friend,,
0,283,LP,1,BLUES,Barry Goldberg,Two Jews Blues,,
0,0,MC,1,CLASS,Bartok,Contrasts and Mikrokosmos,,
0,0,MC,1,BEATL,Beatles,Abbey Road,,
0,0,CJ,1,BEATL,Beatles,Althea Beatle Mix,,
0,0,MC,2,BEATL,Beatles,Anthology 1,,
0,0,MC,2,BEATL,Beatles,Anthology 2,,
0,0,MC,2,BEATL,Beatles,Anthology 3,,
0,0,M3,1,BEATL,Beatles,For Sale,,
0,0,MC,1,BEATL,Beatles,Hard Days Night + Help,DUP,
0,0,M3,1,BEATL,Beatles,Help,,
0,0,MC,1,BEATL,Beatles,Let It Be,,
0,0,MC,1,BEATL,Beatles,Magical Mystery Tour,,
0,0,MC,1,BEATL,Beatles,Past Masters 1+2,,
0,0,M3,1,BEATL,Beatles,Please Please Me,,
0,0,M3,1,BEATL,Beatles,Revolver,,
0,0,MC,1,BEATL,Beatles,Revolver + LIB Naked,,
0,0,MC,1,BEATL,Beatles,Rubber Soul,,
0,0,MC,1,BEATL,Beatles,Sgt Peppers,,
0,0,MC,2,BEATL,Beatles,White Album,,
0,0,CC,1,BEATL,Beatles,With The Beatles,,
0,0,MC,1,BEATL,Beatles,Yellow Submarine,,
60000,0,MD,1,BEATL,Beatles,Love,,
620066,0,MC,2,BEATL,Beatles,Red Album,1962-1966,
670070,0,MC,2,BEATL,Beatles,Blue Album,1967-1970,
0,0,MC,2,CLASS,Beethoven,Easy Listening Piano Classics,,
0,0,M3,1,CLASS,Beethoven,For Book Lovers,,
0,0,MC,1,CLASS,Beethoven,Ligeti+Beethoven,Err:509,
0,0,MC,1,CLASS,Beethoven,Moonlight Serenade Sonatas,,
0,0,M3,5,CLASS,Beethoven,Nine Symphonies,,
0,0,M3,1,CLASS,Beethoven,Opus 18 String Quartets,,
0,0,MC,1,CLASS,Beethoven,Triple Concerto+Concerto in D,,
0,0,MC,1,FOLK1,Bela Fleck,Best Of New Grass Revival,,
0,0,MC,1,JAZZ5,Bela Fleck,Melody of Rhythm,+Edgar Meyer,
0,0,MC,1,JAZZ5,Bela Fleck,Music For Two,+Edgar Meyer,
725,0,MD,1,JAZZ5,Bela Fleck,Outbound,,
11002,0,MC,1,JAZZ5,Bela Fleck,Perpetual Motion,,
20226,0,MD,1,JAZZ5,Bela Fleck,Live at the Quick,,
30812,0,MD,3,JAZZ5,Bela Fleck,Little Worlds,,
40524,0,MD,1,JAZZ5,Bela Fleck,Music for Two,+Edgar Meyer,
60214,0,MD,1,JAZZ5,Bela Fleck,The Hidden Land,,
70522,0,MD,1,JAZZ5,Bela Fleck,The Enchantment,+Chick Corea,
80930,0,MD,1,JAZZ5,Bela Fleck,Jingle All the Way,,
90303,0,CD,1,JAZZ5,Bela Fleck,Throw Down Your Heart,,
90303,0,M3,3,JAZZ5,Bela Fleck,Throw Down Your Heart,+DVD,
110517,0,MD,1,JAZZ5,Bela Fleck,Rocket Science,,
120705,0,MD,1,JAZZ5,Bela Fleck,Imaginary Divide,+Marcus Roberts,
830000,0,MD,1,JAZZ5,Bela Fleck,Dreadful Snakes,,
890000,0,MD,1,JAZZ5,Bela Fleck,Strength in Numbers,,
900306,0,MD,1,JAZZ5,Bela Fleck,Flecktones,,
910611,0,MD,1,JAZZ5,Bela Fleck,Cosmic Hippo,,
920000,0,MD,1,JAZZ5,Bela Fleck,UFO Tofu,,
930914,0,MD,1,JAZZ5,Bela Fleck,Cuckoos Nest,,
950000,0,MC,1,JAZZ5,Bela Fleck,Acoustic Planet 1,,
960702,0,MD,1,JAZZ5,Bela Fleck,Tabula Rasa,,
960910,0,MD,2,JAZZ5,Bela Fleck,Live Art,,
970930,0,MD,1,JAZZ5,Bela Fleck,Uncommon Ritual,+Edgar Meyer,
980609,0,CD,1,JAZZ5,Bela Fleck,Left of Cool,,
990622,0,MC,1,JAZZ5,Bela Fleck,Acoustic Planet 2,,
0,0,CC,1,JAZZ1,Ben Webster,Soulville,,
0,0,CC,3,JAZZ5,Benny Goodman,Complete Small Groups,,
0,0,MC,2,JAZZ5,Benny Goodman,Essential,,
0,0,MC,2,JAZZ5,Benny Goodman,Giants of Big Band Era,,
0,0,MC,1,JAZZ5,Benny Goodman,Greatest Hits,,
0,0,MC,1,JAZZ5,Benny Goodman,Jazz Collector Edition,,
0,0,MC,1,JAZZ5,Benny Goodman,RCA Small Groups,DUP,
0,0,MC,1,JAZZ5,Benny Goodman,Sextet,,
0,0,MC,1,JAZZ5,Benny Goodman,Sing Sing Sing,,
350037,0,MC,1,JAZZ5,Benny Goodman,Trio + Quartet Sessions V1,,
370000,0,CC,1,JAZZ5,Benny Goodman,Trio + Quartet Live 1937,,
380000,0,MC,2,JAZZ5,Benny Goodman,Live at Carnegie Hall 1938,,
780000,0,MC,2,JAZZ5,Benny Goodman,Live at Carnegie Hall 40th,,
0,0,MC,1,BLUES,Bernard Allison,In the Mix,,
0,0,MP,1,JAZZ2,Best of Dixieland,Al Hirt,,
0,0,MP,1,JAZZ2,Best of Dixieland,Pete Fountain,,
0,0,MP,1,JAZZ2,Best of Dixieland,Various,,
0,446,LP,1,BLUES,Big Bill Broonzy,Do That Guitar Rag,,
0,287,LP,1,BLUES,Big Bill Broonzy,Feeling Lowdown,,
0,0,M3,1,BLUES,Big Bill Broonzy,Young Big Bill Broonzy,,
0,289,LP,1,BLUES,Big Joe Williams,Plums Look Mellow,,
0,0,MM,1,JAZZ3,Bill Evans,Alone,,
0,0,CC,1,JAZZ3,Bill Evans,Conversations with Myself,,
0,0,MC,1,JAZZ3,Bill Evans,Everybody Digs,,
0,0,MC,1,JAZZ3,Bill Evans,Finest Hour,,
0,0,MC,1,JAZZ3,Bill Evans,Live at Montreux,,
0,0,MC,1,JAZZ3,Bill Evans,New Jazz Concepts,,
0,0,MC,1,JAZZ3,Bill Evans,Sunday at Village Vanguard,,
0,0,MC,1,JAZZ3,Bill Evans,Waltz for Debby,,
0,0,CC,1,JAZZ3,Bill Evans,You Must Believe in Spring,,
0,0,MC,1,BEATL,Bill Frisell,All We Are Saying,,
0,0,M3,1,JAZZ3,Bill Frisell,Americana,+Maret +Collin,
0,0,MC,1,JAZZ3,Bill Frisell,Blues Dream,,
0,0,MC,1,JAZZ3,Bill Frisell,Disfarmer,,
0,0,MC,1,JAZZ3,Bill Frisell,Ghost Town,,
0,0,MC,1,JAZZ3,Bill Frisell,Going Back Home,+Ginger Baker,
0,0,MC,1,JAZZ3,Bill Frisell,Guitar in the Space Age,,
0,0,MC,1,JAZZ3,Bill Frisell,Have a Little Faith,,
0,0,M3,2,JAZZ3,Bill Frisell,With Orchestra,,
0,0,M3,2,FOLK2,Bill Gaither,Blue Grass Homecoming,V1+V2,
0,434,LP,1,FOLK4,Bill Monroe,+Flatt and Scruggs,,
0,0,MC,2,FOLK4,Bill Monroe,Anthology,,
0,0,MC,1,FOLK4,Bill Monroe,Bean Blossom,,
0,0,MC,1,FOLK4,Bill Monroe,Big Mon,,
0,498,LP,1,FOLK4,Bill Monroe,Greatest Hits,,
0,0,MC,1,FOLK4,Bill Monroe,Mountain Stage,,
0,0,MC,1,FOLK4,Bill Monroe,Sixteen Gems,,
0,0,MC,1,FOLK4,Bill Monroe,True Life Blues,DUP,
0,0,MC,1,FOLK4,Bill Monroe,Very Best Of,,
360094,0,MC,1,FOLK4,Bill Monroe,Music of,,
630080,0,MC,1,FOLK4,Bill Monroe,Off the Record,,
0,0,MD,1,CLASS,Bill Whelan,The Seville Suite,Irish Classical,
0,290,XX,1,ROCK1,Bill Wyman,Monkey Grip,,
0,0,M3,1,FOLK1,Billy Bragg,Recordings From The Railroad,,
0,0,CC,1,JAZZ1,Billy Hart,One is The Other,,
0,0,MC,1,JAZZ1,Billy Hart Quartet,One Is the Other,,
0,0,CD,1,ROCK1,Billy Idol,Greatest Hits,,
0,0,MC,1,ROCK1,Billy Joel,Essential,,
950000,0,CD,1,JAZZ1,Billy Lester,Captivating Rhythm,,
0,0,M3,1,FOLK2,Billy Strings,Me+Dad,,
0,0,M3,1,FOLK2,Billy Strings,Renewal,,
0,0,MC,1,JAZZ2,Billy Taylor,Dr T.,,
